Designator,Footprint,Quantity,Value,LCSC Part #
BZ501,Buzzer_12x9.5RM7.6,1,Buzzer,
"C201, C206, C207, C208, C304",0805,5,22uF,
"C202, C212, C305, C307, C308",0805,5,0.1uF,
"C203, C204, C210, C301, C302, C303, C402, C403, C406, C407, C503, C504, C505, C506",0603,14,0.1uF,
C205,0603,1,33pF,
C209,CP_Elec_8x10,1,470uF,
"C211, C213, C214, C306, C501, C502",0805,6,4.7uF,
"C401, C405",CP_Elec_8x10,2,220uF,
"C404, C408",0805,2,22nF,
D201,D_SOD-523,1,BZT52C12T,
"D202, D203, D205",0805,3,Green,
D204,D_SMP_DO-220AA,1,SS1P3L,
D301,1206,1,Red,
"D501, D502",D_SMA,2,SS14,
F201,Fuseholder_LittelFuse_5x20mm_0PTF0078P,1,10A,
F202,1812,1,5A,
F203,1206,1,3A,
F301,1206,1,500mA,
J201,AMASS_XT60PW-M_1x02_P7.20mm_Horizontal,1,XT60-M,
J202,"PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",1,Receptable-P5.08-2P,
J203,PinHeader_2x03_P2.54mm_Vertical,1,Conn_02x03_Odd_Even,
J204,"PhoenixContact_MSTBA_2,5_4-G-5,08_1x04_P5.08mm_Horizontal",1,Receptable-P5.08-4P,
J205,USB_C_Receptacle_GCT_USB4085,1,USB_C_Receptacle_PowerOnly_6P,
"J301, J302",PinHeader_1x10_P2.54mm_Vertical,2,2.54mm (F),
J303,USB_C_Receptacle_GCT_USB4085,1,USB_C_Receptacle_USB2.0_16P,
"J401, J402",JST_PH_S6B-PH-K_1x06_P2.00mm_Horizontal,2,JST-PH-6-Male,
J501,JST_PH_S3B-PH-K_1x03_P2.00mm_Horizontal,1,JST-PH-3-Male,
J502,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,JST-PH-2-Male,
"J601, J602, J603",PinHeader_1x04_P2.54mm_Vertical,3,2.54mm (F),
L201,L_Bourns_SRP7028A_7.3x6.6mm,1,4.7uH,
Q201,SO-8_3.9x4.9mm_P1.27mm,1,SQ4425EY,
Q301,SOT-363_SC-70-6,1,UMH3N,
"Q501, Q504",SOT-23,2,AO3400A,
"Q502, Q503",SOT-23,2,BSS138,
"R201, R209",0805,2,100k,
R202,0805,1,5.49k,
R203,0805,1,40.2k,
"R204, R207, R403, R407, R501, R505",0805,6,10k,
"R205, R206, R302, R310",0603,4,1k,
R208,0805,1,3.3k,
"R210, R211, R301, R503, R504, R506, R508, R509, R510",0603,9,10k,
"R212, R511",0603,2,470,
"R303, R304",0603,2,0,
"R305, R306",0603,2,5k1,
"R307, R308, R309",0603,3,47k,
R401,0805,1,62k,
R402,0805,1,20k,
"R404, R408",0805,2,1.2k,
R405,0805,1,16k,
R406,0805,1,50k,
"R502, R507",0805,2,150,
SW201,SW_Slide_SPDT_Straight_CK_OS102011MS2Q,1,SW_SPDT,
"SW301, SW302",SW_SPST_TL3342,2,SW_Push,
SW501,SW_PUSH-12mm,1,SW_Push,
U201,SOT-23-8,1,MP2225,
U202,SOT-23-5,1,AP2112K-3.3,
U301,ESP32-WROOM-32D,1,ESP32-WROOM-32E,
U302,SOT-666,1,USBLC6-2P6,
U303,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,CP2102N-Axx-xQFN24,
"U401, U402",HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask3x3mm_ThermalVias,2,DRV8874,
U501,SOT-23-5_HandSoldering,1,MIC5225,
U502,InvenSense_QFN-24_3x3mm_P0.4mm,1,ICM-20948,
